"","RESP_teg","RESP_gil","RESP_pls","RESP_spi","RESP_ves","LCD_short","LCD_long","RLC_sev","RLC_unv","RLC_mlt","RLC_flx","REP_ovo","REP_fie","REP_cie","REP_fic","REP_frc","REP_vec","REP_tec","REP_ase","BodSz_0.25","BodSz_0.25_0.5","BodSz_0.5_1","BodSz_1_2","BodSz_2_4","BodSz_4_8","BodSz_8_","Feed_Gra","Feed_Min","Feed_Xyl","Feed_Shr","Feed_Gat","Feed_Aff","Feed_Pff","Feed_Pre","Feed_Par"
"VI2_2017",0.917714207393484,0.0801985432330827,0.000834899749373434,0.00125234962406015,0,0.818673167293233,0.181326832706767,0.00146107456140351,0.674606829573935,0.323932095864662,0,0.00651503759398496,0,0.126984649122807,0.298915570175439,0.436424812030075,0.131159931077694,0,0,0,0.0664176065162907,0.344612312030075,0.441311481829574,0.100039552005013,0.0476190476190476,0,0.0668342731829574,0.000834899749373434,0,0.0555568609022556,0.486216322055138,0.00877114661654135,0,0.2890546679198,0.0927318295739348
"VI3_2017",0.889449027829862,0.0906549127452206,0.00383905877718307,0.0160570006477346,0,0.664393061284787,0.335606938715213,0.00702006083402463,0.74293031738997,0.250049621776005,0,0.0502994352208548,0.00984812327412811,0.0131308310321708,0.751825399531055,0.14585658170358,0.0272730371936045,0.00176659204460657,0,0.00151422175251991,0.0989178448456395,0.146251066705845,0.389178732550532,0.362623912392944,0.00151422175251991,0,0.314998939381887,0.00202085629760944,0.000605688701007966,0.228131474978882,0.317022636620871,0.0679273817505502,0,0.0692930222691925,0
"B1_2017",0.98078032597721,0.0192196740227896,0,0,0,0.603797057550844,0.396202942449156,0,0.742952786191644,0.257047213808356,0,0.00768786960911582,0,0.012813116015193,0.73206163757873,0.228217702774172,0.0192196740227896,0,0,0,0.0153757392182316,0.593607865762777,0.179449733160248,0.147453002548199,0.0641136593105438,0,0.256406558007596,0,0,0.23078032597721,0.467967209962017,0.0256262320303861,0,0.0192196740227896,0
"B2_2017",0.616085180472778,0.383914819527222,0,0,0,0.841060068305096,0.158939931694904,0.0178631219446863,0.317883211678832,0.664253666376482,0,0.0910433268599746,0,0,0.492877073148954,0.237459541507623,0.107167570704703,0.0714524877787451,0,0.0535726243889373,0.258289247527847,0.36666889885935,0.244062367463559,0.0774068617603072,0,0,0.279164713498069,0.0767829639054443,0,0.172030625683609,0.314857474497199,0.0857117346369339,0,0.0714524877787451,0
"B3_2017",0.96015516725998,0.0398448327400201,0,0,0,0.744205005570804,0.255794994429196,0,0.88286592932779,0.11713407067221,0,0.0144840892415555,0,0.00482802974718516,0.874416877270216,0.0869498265351414,0.0193211772059023,0,0,0.0108630669311666,0.0190707175013814,0.51666576084495,0.307255179035662,0.136480157975307,0.00966511771153201,0,0.297109522903702,0,0,0.297109522903702,0.345416995027039,0.0289817658088535,0,0.0265541636095184,0.00482802974718516
"C1_2017",0.673430228604183,0.326569771395817,0,0,0,0.41306531686891,0.58693468313109,0.00517832680779955,0.106068260645688,0.888753412546513,0,0.158169709217033,0.00172610893593318,0.00345221787186637,0.313852914792397,0.332709764335934,0.0523940450860949,0.0103663690505105,0.127328870710231,0.0496580166911172,0.158750206452992,0.100839737424179,0.21339224125368,0.0887521171551911,0.0143885591038483,0.374219121918993,0.19811083368147,0.0084614961122068,0.00431689157898487,0.0193484505500555,0.612342974283244,0.1257616091351,0,0.0316577446589397,0
"C2_2017",0.877179978379066,0.122820021620934,0,0,0,0.196402737591809,0.803597262408191,0,0.0226519029601602,0.97734809703984,0,0.0201364821468316,0,0,0.115803949000032,0.781188859919663,0.0500551121850922,0,0.0328155967483811,0.0169549457886872,0.0271310928110394,0.0639285449323286,0.290467711678484,0.279326041567306,0.223744872977012,0.0984467902451432,0.0703382510360031,0.000706124871493222,0.000706124871493222,0.000706124871493222,0.860269413797124,0.0540854556823842,0,0.0131885048700094,0
"C3_2017",0.707798953301833,0.292201046698167,0,0,0,0.331419354273141,0.668580645726859,0,0.0737612464532945,0.926238753546705,0,0.12517203895751,0.00311788649958068,0.00155894324979034,0.225174814957673,0.490974639046926,0.0327912827750651,0.0831134448993189,0.038096949614136,0.0200025422317288,0.211273628875077,0.137725988329111,0.252120571914476,0.173161045996862,0.105455863058451,0.100260359594295,0.212086266396664,0.0158961074633495,0.00935073739330662,0.0437729933171449,0.631572034282141,0.0687080495238429,0,0.018613811623551,0
"KB1_2017",0.530014632459942,0.469985367540058,0,0,0,0.824541529654851,0.175458470345149,0,0.101807349997186,0.898192650002814,0,0.0937100521783874,0,0,0.271302422931691,0.434828872577001,0.111707307922164,0.0805106889315892,0.00794065545916713,0.0150034973187223,0.243874734351174,0.322512682805252,0.261943276438256,0.110134050484667,0.0227097922244287,0.0238219663775014,0.238864188796252,0.11055681065972,0.0250131986932624,0.131517943522993,0.337958905835028,0.117260674861916,0,0.0388282776308279,0
"KB2_2017",0.425013539227166,0.55763868559719,0.00433694379391101,0.013010831381733,0,0.238356421462027,0.761643578537973,0.00156030444964871,0.240489851678376,0.757949843871975,0,0.277584528688525,0,0.00491559328649493,0.30840968969555,0.368413226971116,0.0250665983606557,0.0156103629976581,0,0.0984484777517565,0.41790324941452,0.118080357142857,0.174781908665105,0.115903103044496,0.0748829039812646,0,0.310530225409836,0.00832674668227947,0.00520467408274785,0.041757050156128,0.544502707845433,0.0547693452380952,0,0.0349092505854801,0
"KB3_2017",0.571574792997737,0.42231684955448,0.00152708936194596,0.00458126808583789,0,0.573865427040656,0.426134572959345,0,0.124577400223477,0.867787152966794,0.00763544680972982,0.155473741512191,0,0,0.252036119149261,0.452279173709996,0.0714489680925231,0.0687619975360284,0,0.030548949946996,0.225128212474572,0.185039490397196,0.29273510395477,0.183078818439676,0.0834694247867901,0,0.240874471153387,0.0362908154981902,0.0152804438968952,0.0702492144896809,0.491297070929911,0.119269594781728,0,0.0267383892502077,0
"S1_2017",0.850103333632851,0.149896666367149,0,0,0,0.452601311887861,0.54739868811214,0,0.0718797735645611,0.928120226435439,0,0.0551145655494654,0,0,0.210679605834606,0.544461317279181,0.0488094168388894,0.0191751280438494,0.121759966454009,0.0399362027136311,0.0878650372899632,0.125487465181059,0.210328870518465,0.126372540210261,0.0447299847245934,0.365279899362027,0.0985997543954234,0.00798813909605535,0.00798813909605535,0.0146419264983377,0.622025039686105,0.0858193308772876,0,0.162937670350735,0
"S2_2017",0.652248727135584,0.347751272864416,0,0,0,0.581086177635301,0.418913822364699,0,0.202550443145389,0.797449556854611,0,0.124830284744484,0,0,0.281793324533283,0.441591237664215,0.105239172795273,0,0.0465459802627444,0,0.184867056383179,0.160519202966874,0.261691495379974,0.206738324218996,0.0465459802627444,0.139637940788233,0.215098371990697,0.0125636432208184,0,0.0949933999622855,0.544628826450437,0.132715758375762,0,0,0
"S3_2017",0.696890615597939,0.303109384402062,0,0,0,0.835275881014049,0.164724118985951,0.005583025926798,0.0939460534233315,0.900470920649871,0,0.0719383617193836,0,0,0.219737679756517,0.569834044074685,0.124545430761583,0.0139444836878319,0,0.0263584752635848,0.0969093652164055,0.308008267273631,0.341338984381132,0.17828706973986,0.049097838125387,0,0.200282552389922,0.0606240570686062,0.0348830111015183,0.075737121628339,0.347576066766083,0.148603371443023,0,0.132293819602508,0
"S4_2017",0.704425039246468,0.295574960753532,0,0,0,0.909288330716902,0.0907116692830979,0,0.406004709576138,0.593995290423862,0,0.0895680708180708,0.00498056365403304,0,0.37662561361541,0.385808196905136,0.103173045775087,0.0348639455782313,0.00498056365403304,0.0242183411826269,0.146340266875981,0.192182321646607,0.379840397697541,0.257418672597244,0,0,0.263572736787022,0,0,0.158910038374324,0.263572736787022,0.176358363858364,0.0174483254840398,0.120137798709227,0
